Key;Type;Desc;English;Vietnamese [vi]
LoadMenu/Tip1;Text;;Cooked food is more nutritious!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip10;Text;;;""""
LoadMenu/Tip2;Text;;Expand your raft by using the building hammer!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip3;Text;;Blueprints found in the world are automatically added to your research table!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip4;Text;;Shark baits are useful when exploring reefs!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip5;Text;;Sharks wont eat foundation armor!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip6;Text;;Make sure to keep your distance from puffer fishes when they explode!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip7;Text;;Want to play with others? Join our discord server to find new friends!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip8;Text;;Sleeping in a bed allows you to skip night time!;Việt hoá bởi Hoàng Thông a.k.a Alvin~
LoadMenu/Tip9;Text;;;""""
Menu/Accept;Text;;Accept;Chấp nhận
Menu/AdditionalSound;Text;;Additional sound fx by:;Âm thanh hiệu ứng bởi:
Menu/AllowFriends;Text;;Allow friends to join?;Cho phép bạn bè tham gia?
Menu/Apply;Text;;Apply;Áp dụng
Menu/Artist;Text;;Artist;Nghệ sĩ
Menu/AuthAllowAll;Text;;Everybody can join;Ai cũng có thể tham gia
Menu/AuthAllowFriends;Text;;Friends can join;Bạn bè có thể tham gia
Menu/AuthAllowNone;Text;;Nobody can join;Không ai có thể tham gia
Menu/Back;Text;;Back;Quay lại
Menu/CommunityManager;Text;;Community Manager;Quản lý cộng đồng
Menu/ConnectFail;Text;;Failed to join world;Không thể tham gia
Menu/ConnectFail_MissmatchID;Text;;Your game version does not match the hosts game version;Phiên bản trò chơi của bạn không khớp với phiên bản trò chơi hiện tại
Menu/ConnectFail_NotFriendWithHost;Text;;You are not friends with host;Phải kết bạn mới có thể tham gia
Menu/ConnectFail_Password;Text;;Wrong password;Sai mật khẩu
Menu/ConnectTimeout;Text;;Connection timed out;Quá thời gian kết nối
Menu/Connecting;Text;;Connecting;Đang kết nối
Menu/CreateNewWorld;Text;;Create new world;Tạo thế giới mới
Menu/CreateWorldButton;Text;;Create world;Tạo thế giới
Menu/Credits;Text;;Credits;Credits
Menu/Credits/;Text;;;""""
Menu/Credits/AccountExecutive;Text;;Account Executive;Account Executive
Menu/Credits/CastingAssistant;Text;;Casting Assistant;Casting Assistant
Menu/Credits/CastingDirector;Text;;Casting Director;Casting Director
Menu/Credits/DialogueEditor;Text;;Dialogue Editor;Dialogue Editor
Menu/Credits/HeadOfPostproduction;Text;;Head of Postproduction;Head of Postproduction
Menu/Credits/HeadOfProduction;Text;;Head of Production;Head of Production
Menu/Credits/JuniorProductionManager;Text;;Junior Production Manager;Junior Production Manager
Menu/Credits/MayaVoice;Text;;Voice actor - Maya;Voice actor - Maya
Menu/Credits/ProductionSupport;Text;;Production Support;Production Support
Menu/Credits/RouhiVoice;Text;;Voice actor - Rouhi;Voice actor - Rouhi
Menu/Credits/Story;Text;;Game Writer;Game Writer
Menu/Credits/VoiceDirector;Text;;Voice Director;Voice Director
Menu/Credits/VoiceRecordingEngineers;Text;;Voice Recording Engineers;Voice Recording Engineers
Menu/Delete;Text;;Delete;Xoá
Menu/DeleteWorldButton;Text;;Delete;Xoá
Menu/Developer;Text;;Developer:;Developer:
Menu/Difficulty;Text;;Difficulty;Độ khó
Menu/DoYouWantToSave;Text;;Do you want to save before you exit?;Bạn có muốn lưu trước khi thoát không?
Menu/Done;Text;;Done;Hoàn tất
Menu/EmptyName;Text;;Name can't be empty;Tên không được để trống
Menu/EnterText;Text;;Enter text...;Nhập chữ...
Menu/Exit;Text;;Exit;Thoát
Menu/ExitGame;Text;;Exit game?;Thoát thật à?
Menu/FemaleVoice;Text;;Female voice;Giọng nữ
Menu/Fishing/BaitMenuFishingBait;Text;;Fishing bait;Mồi câu cá
Menu/Fishing/OpenBaitMenu;Text;;Choose bait;Chọn mồi câu
Menu/HelpCenter;Text;;Help center;Trung tâm trợ giúp
Menu/Host;Text;;Host;Chủ Server
Menu/HostConnectionFailed;Text;;Trying to connect to host...;Đang kết nối đến server...
Menu/Ignore;Text;;Ignore;Bỏ qua
Menu/InvalidName;Text;;Name is invalid;Tên không hợp lệ
Menu/JoinGame;Text;;Join world;Tham gia server
Menu/LastPlayed;Text;;Last played;Lần chơi cuối
Menu/LoadWorld;Text;;Load world;Tải Server
Menu/LostConnection;Text;;"Disconnected from Steam.
Restart Raft and try again.";"Đã ngắt kết nối khỏi Steam.
Khởi động lại Raft và thử lại."
Menu/MainMenu;Text;;Main menu;Sảnh chờ
Menu/MaleVoice;Text;;Male voice;Giọng Nam
Menu/Music;Text;;Music;Nhạc
Menu/NameExists;Text;;Name already exists;Tên đã tồn tại
Menu/New;Text;;New;Mới
Menu/NewWorld;Text;;New world;Server mới
Menu/Next;Text;;Next;Tiếp theo
Menu/No;Text;;No;Không
Menu/NoFriends;Text;;Host not allowing friends to join;Server không cho phép bạn tham gia
Menu/NoGamesFound;Text;;"No worlds could be found.
You can only connect to worlds hosted by a Steam friend.";"Không có server nào được tìm thấy.
Bạn chỉ có thể kết nối với các server được tạo bởi bạn bè trên Steam."
Menu/NoOnlineConnection;Text;;"No connection to steam.
Refresh or restart Raft and try again.";"Đã ngắt kết nối khỏi Steam.
Khởi động lại Raft và thử lại."
Menu/OfflineWarning;Text;;No connection to steam. Some features will not work without an internet connection.;Không có kết nối với Steam. Một số tính năng sẽ không hoạt động nếu không có kết nối internet.
Menu/OpenWorldFolder;Text;;Open world folder path;Mở thư mục lưu server
Menu/Password;Text;;Password;Mật khẩu
Menu/Permanently;Text;;Permanently;Vĩnh viễn
Menu/Previous;Text;;Previous;Trước
Menu/Programmer;Text;;Programmer;Lập trình viên
Menu/Publisher;Text;;Publisher:;Nhà phát hành:
Menu/RaftBuiltBy;Text;;Raft built by: {[RaftBuiltByName]};Chiếc bè được đóng bởi: {[RaftBuiltByName]}
Menu/ReallyUnstuck;Text;;Teleport to safe location?;Dịch chuyển đến vị trí an toàn?
Menu/RefreshButton;Text;;Refresh;Làm mới
Menu/ReturnToGame;Text;;Return to game;Quay lại trò chơi
Menu/SaveWorld;Text;;Save world;Lưu Server
Menu/Settings;Text;;Settings;Cài đặt
Menu/Sound Design;Text;;Sound Design;Thiết kế âm thanh
Menu/Unstuck;Text;;Unstuck;Gỡ bè bị kẹt
Menu/WithHelpFrom;Text;;With help from:;Với sự giúp đỡ từ:
Menu/World;Text;;World;Server
Menu/WorldBackups;Text;;World backups;Server dự phòng
Menu/WorldName;Text;;World name;Tên Server
Menu/WorldNamePlaceholder;Text;;Your world name;Tên Server của bạn
Menu/WorldSaved;Text;;World saved;Đã lưu Server
Menu/Yes;Text;;Yes;Ừa
Notebook/FoundItems;Text;;Found items;ĐÃ TÌM THẤY
QuestItem/Balboa_BrunosTool_Hammer;Text;;Brunos hammer;Búa Brunos
QuestItem/Balboa_BrunosTool_Saw;Text;;Brunos saw;Cưa Brunos
QuestItem/Balboa_BrunosTool_Wrench;Text;;Brunos wrench;Cờ lê Brunos
QuestItem/Balboa_LightBulb;Text;;Lightbulb;Bóng đèn
QuestItem/Balboa_WildBerries;Text;;Wild berries;Dâu dại
QuestItem/Caravan_BatteryChargerPart;Text;;Battery charger part;Bộ phận Sạc Pin
QuestItem/Caravan_KeyInfirmary;Text;;Infirmary key;Chìa khóa bệnh xá
QuestItem/Caravan_KeyMayor;Text;;Mayor's chest key;Chìa khóa rương thị trưởng
QuestItem/Caravan_ZiplinePart;Text;;Zipline part;Bộ phận Zipline
QuestItem/Tangaroa_GeneratorPart;Text;;Generator part;Bộ phận máy phát điện
QuestItem/Tangaroa_KeyCard;Text;;Tangaroa keycard;Thẻ từ Tangaroa
QuestItem/Tangaroa_Tape;Text;;Tape;Băng dính
QuestItem/Tangaroa_Token;Text;;Vending Machine Token;Xu máy bán hàng tự động
QuestItem/Temperance_Blowtorch;Text;;Blowtorch;Đèn hàn xì
QuestItem/Temperance_ControlRod;Text;;Control rod;Thanh điều khiển
QuestItem/Temperance_ElectricalCable;Text;;Electrical cable;Dây Cáp Điện
QuestItem/Temperance_ReactorKey;Text;;Reactor key;Chìa khóa lò phản ứng
QuestItem/Temperance_SeleneGateKey;Text;;Selene key;Chìa khoá cổng Selene
QuestItem/Utopia_Cable;Text;;Electrical cable;Selene key
QuestItem/Utopia_CarbonDioxideCanister;Text;;Carbon dioxide canister;Ống đựng Carbon Dioxide
QuestItem/Utopia_DettoCode;Text;;Part of Detto's code;Một phần mã của Detto
QuestItem/Utopia_Hammer;Text;;Hammer;Búa
QuestItem/Utopia_Harpoon;Text;;Harpoon;Lao Móc
QuestItem/Utopia_KeyEntrance;Text;;Entrance key;Chìa khóa lối vào
QuestItem/Utopia_KeyPhase1;Text;;Warehouse key;Chìa khoá kho
QuestItem/Utopia_KeyPrison;Text;;Master key;Chìa khoá tù
QuestItem/Utopia_OlofKey;Text;;Olofs key;Chìa khoá Olofs
QuestItem/Varuna_CraneKey;Text;;Crane key;Chìa khoá cần cẩu
QuestItem/Varuna_MotherloadKey;Text;;Motherload key;Chìa khoá Motherload
QuestItem/Varuna_MotherlodeKey;Text;;Motherlode key;Chìa khoá Motherlode
QuestItem/Varuna_SpotlightPart;Text;;Spotlight part;Đèn sân khấu
QuestItem/Vasagatan_BlueKey;Text;;Blue key;Chìa khoá xanh dương
QuestItem/Vasagatan_BoltCutter;Text;;Bolt cutter;Kìm cộng lực
QuestItem/Vasagatan_Bomb;Text;;Bomb;Bomb
QuestItem/Vasagatan_BombWire;Text;;Electrical wires;Dây điện
QuestItem/Vasagatan_Bullet;Text;;Bullet;Đạn
QuestItem/Vasagatan_CarJack;Text;;Car jack;Kích xe
QuestItem/Vasagatan_Crowbar;Text;;Crowbar;Xà beng
QuestItem/Vasagatan_FourDigitCode;Text;;Four digit code;Mã bốn chữ số
QuestItem/Vasagatan_GasTank;Text;;Gas tank;Bình xăng
QuestItem/Vasagatan_GreenKey;Text;;Green key;Chìa khoá xanh lá
QuestItem/Vasagatan_KeyCard;Text;;Key card;Thẻ từ
QuestItem/Vasagatan_Lighter;Text;;Lighter;Bật lửa
QuestItem/Vasagatan_MechanicalPart;Text;;Mechanical part;Bộ phận thiết bị cơ khí
QuestItem/Vasagatan_Recorder;Text;;Recorder;Máy ghi âm
QuestItem/Vasagatan_RedKey;Text;;Red key;Chìa khoá đỏ
Radar/Antenna;Text;;Antenna;Ăng ten
Radar/AntennaRequiresReciever;Text;;Antenna requires receiver;Ăng-ten yêu cầu máy dò tín hiệu
Radar/Distance;Text;;DISTANCE;KHOẢNG CÁCH
Radar/FrequencyCycle;Text;;Switch number;Đổi số
Radar/FrequencyDecrease;Text;;Decrease number;Giảm số
Radar/FrequencyIncrease;Text;;Increase number;Tăng số
Radar/InvalidFrequency;Text;;INVALID FREQUENCY;TẦN SỐ KHÔNG HỢP LỆ
Radar/NotConnected;Text;;NOT CONNECTED;KHÔNG KẾT NỐI
Radar/Power;Text;;Power;Power
Radar/Radar;Text;;RADAR;RADAR
Radar/RecieverAltitude;Text;;REQUIRES HIGHER ALTITUDE;CHƯA ĐẠT ĐỦ ĐỘ CAO
Radar/TooCloseAntenna;Text;;TOO CLOSE TO OTHER ANTENNA;QUÁ GẦN ĂNG-TEN KHÁC
Radar/TooCloseReciever;Text;;TOO CLOSE TO RECEIVER;QUÁ GẦN MÁY DÒ TÍN HIỆU
Radar/TooFarFromReciever;Text;;TOO FAR FROM RECEIVER;QUÁ XA MÁY DÒ TÍN HIỆU
Radar/UpdateRequired;Text;;Update required;Cần cập nhật
Radar/WrongAltitude;Text;;WRONG ALTITUDE;SAI ĐỘ CAO
Settings/Audio;Text;;Audio;Âm lượng
Settings/Controls;Text;;Controls;Điều khiển
Settings/General;Text;;General;Tổng quan
Settings/Graphics;Text;;Graphics;Đồ hoạ
Story/BalboaIsland/CorreasDiary1;Text;;"Three months ago my sister Astrid and I were put in charge of the Ranger Station on Balboa. We handled the bear population and kept the relay towers operational. The next shift was meant to start weeks back. But the replacements never showed up.

HENRY suggested that I start writing things down after Astrid disappeared so that I'm not feeling so lonely anymore.
~BRUNO";"Ba tháng trước, chị gái tôi, Astrid và tôi được giao phụ trách coi Trạm Kiểm Lâm ở Balboa. Chúng tôi đã xử lý hết lũ gấu và tiếp tục duy trì hoạt động của các tháp chuyển tiếp. Ca tiếp theo dự định sẽ tiếp nhận từ nhiều tuần trước. Nhưng những người thay thế kia không bao giờ xuất hiện.

HENRY nói với tôi rằng tôi nên bắt đầu ghi lại mọi thứ sau khi Astrid biến mất để tôi không phải cảm thấy cô đơn nữa.
~BRUNO"
Story/BalboaIsland/CorreasDiary2;Text;;"The kids are fighting. Astrid would have known how to make them stop. I found her wrench out by the clearing. I’ve been calling out on the radio. Please. I just want to talk, sis.

MIRANDA is screaming outside. I hope her and HENRY make up soon.
~BRUNO";"Bọn trẻ đang đánh nhau. Astrid hẳn đã biết cách khiến chúng dừng lại. Tôi tìm thấy cái mỏ lết của cô ấy ở bãi đất trống. Tôi đã cố gắng dùng đài phát thanh để liên lạc. Làm ơn đi. Em chỉ muốn nói chuyện với chị thôi mà.

MIRANDA đang la hét bên ngoài. Tôi hy vọng cô ấy và HENRY sớm làm lành.
~BRUNO"
Story/BalboaIsland/CorreasDiary3;Text;;"I haven’t seen ERROL all night. I asked MIRANDA but she and HENRY won’t tell me anything. They’re hiding something. Did they figure out there’s only space for two of them on the boat? I’ve decided. I’ll leave the TRIPLETS in charge of the remaining relay stations. BOBBY will take care of the bears. Yes. It’s for the best.

So many memories of this place. We’ll find you, sis. I promise.
~BRUNO";"Cả đêm nay tôi đã không nhìn thấy ERROL đâu cả. Tôi hỏi MIRANDA nhưng cô ấy và HENRY đều không nói cho tôi biết bất cứ điều gì. Họ dường như đang che giấu điều gì đó. Họ có phát hiện ra rằng chỉ có đủ chỗ cho hai người họ trên thuyền thôi không? Tôi quyết đinh rồi. Tôi sẽ để TRIPLETS phụ trách các trạm chuyển tiếp còn lại. Về chuyện lũ gấu BOBBY sẽ lo việc đó. Đúng vậy. Đây hẳn là điều tốt nhất.

Thật là có biết bao kỷ niệm với nơi này. Chúng em sẽ tìm thấy chị thôi, chị à. Em hứa đấy.
~BRUNO"
Story/BalboaIsland/DollNote1;Text;;"BETRAYAL. FATHER TRUSTS THE MURDERERS.
~BOBBY";"BỊ PHẢN BỘI. CHA ĐÃ TIN TƯỞNG NHỮNG KẺ GIẾT NGƯỜI ĐÓ.
~BOBBY"
Story/BalboaIsland/DollNote2;Text;;"HE WOULD LEAVE US BEHIND. WE CAN’T HAVE THAT. 
~N&D&L";"ÔNG ẤY SẼ BỎ CHÚNG TÔI LẠI. CHÚNG TÔI KHÔNG MUỐN ĐIỀU ĐÓ. 
~N&D&L"
Story/BalboaIsland/DollNote3;Text;;"FATHER HAS TO MAKE A DECISION. I KNOW IT WON’T BE ME, SO I WILL BE SPARED.
~BOBBY";"GIỜ CHA PHẢI RA QUYẾT ĐỊNH. TÔI BIẾT ĐÓ SẼ KHÔNG PHẢI LÀ TÔI, VÌ VẬY TÔI SẼ ĐƯỢC THA.
~BOBBY"
Story/BalboaIsland/DollNote4;Text;;"NOT ENOUGH BOAT FOR ALL OF US. I’M SORRY, ERROL.
~MIRANDA";"THUYỀN KHÔNG ĐỦ CHỖ CHO TẤT CẢ CHÚNG TA RỒI. TAO XIN LỖI, ERROL.
~MIRANDA"
Story/BalboaIsland/DollNote5;Text;;"THE GUILTY LAY RESTLESS. WE MUST BE PUNISHED, IF WE ARE TO REST.
~BOBBY";"CẢM THẤY THẬT BỒN CHỒN KHI CÓ TỘI. CHÚNG TA PHẢI BỊ TRỪNG PHẠT, NẾU THẬT SỰ MUỐN ĐƯỢC NGHỈ NGƠI.
~BOBBY"
Story/BalboaIsland/NoteFromHenry;Text;;"Papa MADE HIS MIND UP A LONG TIME AGO. HE’S GOING AFTER AUNTY.  MIRANDA IS FOLLOWING AS ALWAYS. 
~HENRY";"PAPA ĐÃ QUYẾT ĐỊNH TỪ LÂU. ÔNG ẤY ĐANG THEO ĐUỔI DÌ. VÀ MIRANDA VẪN ĐI THEO NHƯ MỌI KHI. 
~HENRY"
Story/BalboaIsland/PictureOfTwoEngineers;Text;;"MERRY CHRISTMAS FROM NOWHERE
~THE CORREA TWINS";"GIÁNG SINH VUI VẺ TỪ HƯ KHÔNG.
~CẶP SONG SINH CORREA"
Story/BalboaIsland/Schedule;Text;;SCHEDULE;LỊCH TRÌNH
Story/BalboaIsland/Voiceline/CorreasDiary1_1;Text;;"Three months ago my sister Astrid and I were put in charge of the Ranger Station on Balboa. ";Ba tháng trước, chị gái tôi, Astrid và tôi được giao phụ trách coi Trạm Kiểm Lâm ở Balboa.
Story/BalboaIsland/Voiceline/CorreasDiary1_2;Text;;"We handled the bear population and kept the relay towers operational. ";Chúng tôi đã xử lý hết lũ gấu và tiếp tục duy trì hoạt động của các tháp chuyển tiếp.
Story/BalboaIsland/Voiceline/CorreasDiary1_3;Text;;The next shift was meant to start weeks back. But the replacements never showed up.;Ca tiếp theo dự định sẽ tiếp nhận từ nhiều tuần trước. Nhưng những người thay thế kia không bao giờ xuất hiện.
Story/BalboaIsland/Voiceline/CorreasDiary1_4;Text;;HENRY suggested that I start writing things down after Astrid disappeared so that I'm not feeling so lonely anymore.;HENRY nói với tôi rằng tôi nên bắt đầu ghi lại mọi thứ sau khi Astrid biến mất để tôi không phải cảm thấy cô đơn nữa.
Story/BalboaIsland/Voiceline/CorreasDiary2_1;Text;;The kids are fighting. Astrid would have known how to make them stop.;Bọn trẻ đang đánh nhau. Astrid hẳn đã biết cách khiến chúng dừng lại.
Story/BalboaIsland/Voiceline/CorreasDiary2_2;Text;;"I found her wrench out by the clearing. I’ve been calling out on the radio. ";Tôi tìm thấy cái mỏ lết của cô ấy ở bãi đất trống. Tôi đã cố gắng dùng đài phát thanh để liên lạc.
Story/BalboaIsland/Voiceline/CorreasDiary2_3;Text;;Please. I just want to talk, sis. MIRANDA is screaming outside.;Làm ơn đi. Em chỉ muốn nói chuyện với chị thôi mà. MIRANDA đang la hét bên ngoài.
Story/BalboaIsland/Voiceline/CorreasDiary2_4;Text;;I hope her and HENRY make up soon.;Tôi hy vọng cô ấy và HENRY sớm làm lành.
Story/BalboaIsland/Voiceline/CorreasDiary3_1;Text;;"I haven’t seen ERROL all night. I asked MIRANDA but she and HENRY won’t tell me anything. ";Cả đêm nay tôi đã không nhìn thấy ERROL đâu cả. Tôi hỏi MIRANDA nhưng cô ấy và HENRY đều không nói cho tôi biết bất cứ điều gì.
